"DateTime","Players"
2016-10-26,709
2016-10-27,721
2016-10-28,670
2016-10-29,887
2016-10-30,932
2016-10-31,839
2016-11-01,723
2016-11-02,720
2016-11-03,729
2016-11-04,904
2016-11-05,1322
2016-11-06,1518
2016-11-07,1274
2016-11-08,1083
2016-11-09,1017
2016-11-10,1032
2016-11-11,1205
2016-11-12,1416
2016-11-13,1532
2016-11-14,1276
2016-11-15,1045
2016-11-16,1054
2016-11-17,1015
2016-11-18,1091
2016-11-19,1511
2016-11-20,1403
2016-11-21,1311
2016-11-22,1298
2016-11-23,1320
2016-11-24,2017
2016-11-25,2713
2016-11-26,3406
2016-11-27,3895
2016-11-28,3599
2016-11-29,3430
2016-11-30,3230
2016-12-01,2961
2016-12-02,2874
2016-12-03,3678
2016-12-04,3644
2016-12-05,3093
2016-12-06,2415
2016-12-07,2305
2016-12-08,2244
2016-12-09,2294
2016-12-10,2809
2016-12-11,2873
2016-12-12,2518
2016-12-13,1941
2016-12-14,1785
2016-12-15,1770
2016-12-16,1719
2016-12-17,2146
2016-12-18,2198
2016-12-19,1981
2016-12-20,1659
2016-12-21,1554
2016-12-22,1605
2016-12-23,1821
2016-12-24,2757
2016-12-25,3003
2016-12-26,3424
2016-12-27,3351
2016-12-28,3186
2016-12-29,3224
2016-12-30,3167
2016-12-31,3147
2017-01-01,3540
2017-01-02,3537
2017-01-03,3297
2017-01-04,2709
2017-01-05,2617
2017-01-06,2325
2017-01-07,3015
2017-01-08,2900
2017-01-09,2066
2017-01-10,2086
2017-01-11,1916
2017-01-12,1789
2017-01-13,1897
2017-01-14,2326
2017-01-15,2456
2017-01-16,2052
2017-01-17,1808
2017-01-18,1605
2017-01-19,1526
2017-01-20,1614
2017-01-21,2101
2017-01-22,2142
2017-01-23,1854
2017-01-24,1424
2017-01-25,1341
2017-01-26,1376
2017-01-27,1310
2017-01-28,1876
2017-01-29,2000
2017-01-30,1666
2017-01-31,1342
2017-02-01,1236
2017-02-02,1196
2017-02-03,1301
2017-02-04,1624
2017-02-05,1766
2017-02-06,1508
2017-02-07,1182
2017-02-08,1095
2017-02-09,1123
2017-02-10,1162
2017-02-11,1453
2017-02-12,1490
2017-02-13,1171
2017-02-14,1009
2017-02-15,997
2017-02-16,958
2017-02-17,1015
2017-02-18,1304
2017-02-19,1365
2017-02-20,1161
2017-02-21,1053
2017-02-22,955
2017-02-23,937
2017-02-24,997
2017-02-25,1260
2017-02-26,1265
2017-02-27,1079
2017-02-28,935
2017-03-01,887
2017-03-02,868
2017-03-03,907
2017-03-04,1167
2017-03-05,1221
2017-03-06,1061
2017-03-07,880
2017-03-08,848
2017-03-09,836
2017-03-10,958
2017-03-11,1243
2017-03-12,1308
2017-03-13,1152
2017-03-14,996
2017-03-15,904
2017-03-16,847
2017-03-17,873
2017-03-18,1137
2017-03-19,1166
2017-03-20,936
2017-03-21,792
2017-03-22,401
2017-03-23,737
2017-03-24,776
2017-03-25,933
2017-03-26,979
2017-03-27,773
2017-03-28,932
2017-03-29,1668
2017-03-30,1946
2017-03-31,1633
2017-04-01,1959
2017-04-02,1917
2017-04-03,1460
2017-04-04,1303
2017-04-05,1278
2017-04-06,1253
2017-04-07,1201
2017-04-08,1394
2017-04-09,1401
2017-04-10,1253
2017-04-11,1043
2017-04-12,994
2017-04-13,1049
2017-04-14,1138
2017-04-15,1254
2017-04-16,1272
2017-04-17,1152
2017-04-18,883
2017-04-19,995
2017-04-20,940
2017-04-21,951
2017-04-22,1192
2017-04-23,1272
2017-04-24,1133
2017-04-25,918
2017-04-26,900
2017-04-27,835
2017-04-28,871
2017-04-29,1124
2017-04-30,1219
2017-05-01,1029
2017-05-02,891
2017-05-03,864
2017-05-04,846
2017-05-05,871
2017-05-06,1085
2017-05-07,1181
2017-05-08,1078
2017-05-09,875
2017-05-10,876
2017-05-11,870
2017-05-12,900
2017-05-13,1075
2017-05-14,1142
2017-05-15,1002
2017-05-16,883
2017-05-17,827
2017-05-18,877
2017-05-19,876
2017-05-20,1088
2017-05-21,1124
2017-05-22,1059
2017-05-23,918
2017-05-24,896
2017-05-25,925
2017-05-26,910
2017-05-27,1090
2017-05-28,1244
2017-05-29,1253
2017-05-30,1166
2017-05-31,923
2017-06-01,906
2017-06-02,891
2017-06-03,1140
2017-06-04,1270
2017-06-05,1161
2017-06-06,966
2017-06-07,931
2017-06-08,931
2017-06-09,906
2017-06-10,1087
2017-06-11,1200
2017-06-12,1045
2017-06-13,920
2017-06-14,845
2017-06-15,911
2017-06-16,936
2017-06-17,1126
2017-06-18,1169
2017-06-19,1087
2017-06-20,925
2017-06-21,859
2017-06-22,835
2017-06-23,1229
2017-06-24,1618
2017-06-25,1983
2017-06-26,1847
2017-06-27,1565
2017-06-28,1541
2017-06-29,1523
2017-06-30,1661
2017-07-01,2431
2017-07-02,2590
2017-07-03,2330
2017-07-04,2406
2017-07-05,2187
2017-07-06,1889
2017-07-07,1721
2017-07-08,1945
2017-07-09,2123
2017-07-10,1882
2017-07-11,1542
2017-07-12,1414
2017-07-13,1283
2017-07-14,1377
2017-07-15,1586
2017-07-16,1657
2017-07-17,1457
2017-07-18,1239
2017-07-19,1185
2017-07-20,1132
2017-07-21,1143
2017-07-22,1357
2017-07-23,1469
2017-07-24,1159
2017-07-25,1105
2017-07-26,1084
2017-07-27,1107
2017-07-28,1079
2017-07-29,1375
2017-07-30,1386
2017-07-31,1165
2017-08-01,1041
2017-08-02,1025
2017-08-03,1009
2017-08-04,1001
2017-08-05,1197
2017-08-06,1267
2017-08-07,1026
2017-08-08,914
2017-08-09,894
2017-08-10,865
2017-08-11,879
