"DateTime","Players"
2016-02-22,223
2016-02-23,174
2016-02-24,178
2016-02-25,185
2016-02-26,189
2016-02-27,220
2016-02-28,187
2016-02-29,165
2016-03-01,164
2016-03-02,164
2016-03-03,174
2016-03-04,137
2016-03-05,232
2016-03-06,238
2016-03-07,171
2016-03-08,158
2016-03-09,168
2016-03-10,142
2016-03-11,182
2016-03-12,208
2016-03-13,233
2016-03-14,201
2016-03-15,162
2016-03-16,167
2016-03-17,146
2016-03-18,206
2016-03-19,224
2016-03-20,222
2016-03-21,179
2016-03-22,227
2016-03-23,351
2016-03-24,435
2016-03-25,536
2016-03-26,605
2016-03-27,605
2016-03-28,542
2016-03-29,488
2016-03-30,443
2016-03-31,392
2016-04-01,369
2016-04-02,448
2016-04-03,434
2016-04-04,376
2016-04-05,284
2016-04-06,280
2016-04-07,259
2016-04-08,246
2016-04-09,367
2016-04-10,336
2016-04-11,250
2016-04-12,192
2016-04-13,183
2016-04-14,204
2016-04-15,208
2016-04-16,268
2016-04-17,229
2016-04-18,191
2016-04-19,193
2016-04-20,165
2016-04-21,187
2016-04-22,187
2016-04-23,246
2016-04-24,267
2016-04-25,219
2016-04-26,178
2016-04-27,170
2016-04-28,165
2016-04-29,190
2016-04-30,242
2016-05-01,264
2016-05-02,209
2016-05-03,184
2016-05-04,174
2016-05-05,168
2016-05-06,159
2016-05-07,215
2016-05-08,212
2016-05-09,178
2016-05-10,183
2016-05-11,257
2016-05-12,292
2016-05-13,285
2016-05-14,380
2016-05-15,379
2016-05-16,330
2016-05-17,288
2016-05-18,268
2016-05-19,281
2016-05-20,277
2016-05-21,333
2016-05-22,380
2016-05-23,331
2016-05-24,288
2016-05-25,268
2016-05-26,269
2016-05-27,254
2016-05-28,290
2016-05-29,291
2016-05-30,259
2016-05-31,228
2016-06-01,200
2016-06-02,203
2016-06-03,221
2016-06-04,269
2016-06-05,272
2016-06-06,222
2016-06-07,212
2016-06-08,198
2016-06-09,212
2016-06-10,210
2016-06-11,244
2016-06-12,262
2016-06-13,206
2016-06-14,255
2016-06-15,431
2016-06-16,605
2016-06-17,645
2016-06-18,667
2016-06-19,645
2016-06-20,534
2016-06-21,447
2016-06-22,402
2016-06-23,384
2016-06-24,422
2016-06-25,513
2016-06-26,536
2016-06-27,476
2016-06-28,475
2016-06-29,481
2016-06-30,479
2016-07-01,468
2016-07-02,503
2016-07-03,506
2016-07-04,477
2016-07-05,442
2016-07-06,405
2016-07-07,406
2016-07-08,365
2016-07-09,436
2016-07-10,408
2016-07-11,349
2016-07-12,320
2016-07-13,322
2016-07-14,268
2016-07-15,300
2016-07-16,358
2016-07-17,376
2016-07-18,298
2016-07-19,278
2016-07-20,260
2016-07-21,258
2016-07-22,260
2016-07-23,286
2016-07-24,281
2016-07-25,266
2016-07-26,224
2016-07-27,250
2016-07-28,246
2016-07-29,243
2016-07-30,295
2016-07-31,329
2016-08-01,305
2016-08-02,243
2016-08-03,223
2016-08-04,215
2016-08-05,242
2016-08-06,251
2016-08-07,263
2016-08-08,236
2016-08-09,225
2016-08-10,207
2016-08-11,204
2016-08-12,203
2016-08-13,233
2016-08-14,280
2016-08-15,219
2016-08-16,200
2016-08-17,202
2016-08-18,204
2016-08-19,199
2016-08-20,255
2016-08-21,317
2016-08-22,281
2016-08-23,225
2016-08-24,217
2016-08-25,224
2016-08-26,217
2016-08-27,268
2016-08-28,302
2016-08-29,266
2016-08-30,211
2016-08-31,225
2016-09-01,231
2016-09-02,240
2016-09-03,310
2016-09-04,338
2016-09-05,317
2016-09-06,287
2016-09-07,278
2016-09-08,270
2016-09-09,282
2016-09-10,358
2016-09-11,391
2016-09-12,311
2016-09-13,254
2016-09-14,229
2016-09-15,242
2016-09-16,247
2016-09-17,319
2016-09-18,324
2016-09-19,289
2016-09-20,231
2016-09-21,179
2016-09-22,215
2016-09-23,231
2016-09-24,266
2016-09-25,341
2016-09-26,242
2016-09-27,199
2016-09-28,213
2016-09-29,215
2016-09-30,206
2016-10-01,295
2016-10-02,313
2016-10-03,262
2016-10-04,227
2016-10-05,227
2016-10-06,235
2016-10-07,229
2016-10-08,305
2016-10-09,303
2016-10-10,238
2016-10-11,208
2016-10-12,221
2016-10-13,200
2016-10-14,219
2016-10-15,285
2016-10-16,282
2016-10-17,248
2016-10-18,197
2016-10-19,195
2016-10-20,206
2016-10-21,218
2016-10-22,210
2016-10-23,256
2016-10-24,206
2016-10-25,181
2016-10-26,170
2016-10-27,184
2016-10-28,242
2016-10-29,498
2016-10-30,577
2016-10-31,518
2016-11-01,559
2016-11-02,544
2016-11-03,474
2016-11-04,441
2016-11-05,535
2016-11-06,540
2016-11-07,420
2016-11-08,329
2016-11-09,299
2016-11-10,254
2016-11-11,310
2016-11-12,391
2016-11-13,387
2016-11-14,311
2016-11-15,269
2016-11-16,228
2016-11-17,245
2016-11-18,219
2016-11-19,320
2016-11-20,323
2016-11-21,266
2016-11-22,226
2016-11-23,243
2016-11-24,263
2016-11-25,298
2016-11-26,362
2016-11-27,368
2016-11-28,312
2016-11-29,304
2016-11-30,265
2016-12-01,273
2016-12-02,264
2016-12-03,352
2016-12-04,321
2016-12-05,297
2016-12-06,246
2016-12-07,229
2016-12-08,235
2016-12-09,245
2016-12-10,303
2016-12-11,325
2016-12-12,265
2016-12-13,237
2016-12-14,228
2016-12-15,223
2016-12-16,235
2016-12-17,303
2016-12-18,293
2016-12-19,281
2016-12-20,413
2016-12-21,553
2016-12-22,650
2016-12-23,612
2016-12-24,630
2016-12-25,634
2016-12-26,681
2016-12-27,665
2016-12-28,605
2016-12-29,571
2016-12-30,585
2016-12-31,549
2017-01-01,568
2017-01-02,578
2017-01-03,519
2017-01-04,459
2017-01-05,413
2017-01-06,410
2017-01-07,501
2017-01-08,506
2017-01-09,366
2017-01-10,385
2017-01-11,350
2017-01-12,337
2017-01-13,346
2017-01-14,435
2017-01-15,456
2017-01-16,405
2017-01-17,387
2017-01-18,339
2017-01-19,307
2017-01-20,384
2017-01-21,496
2017-01-22,524
2017-01-23,417
2017-01-24,339
2017-01-25,326
2017-01-26,369
2017-01-27,459
