"DateTime","Players"
2018-07-30,8546
2018-07-31,7806
2018-08-01,7623
2018-08-02,7324
2018-08-03,7053
2018-08-04,8771
2018-08-05,10226
2018-08-06,8018
2018-08-07,7177
2018-08-08,7171
2018-08-09,6560
2018-08-10,6322
2018-08-11,7804
2018-08-12,8805
2018-08-13,6927
2018-08-14,6044
2018-08-15,5917
2018-08-16,5824
2018-08-17,5856
2018-08-18,7259
2018-08-19,8534
2018-08-20,6123
2018-08-21,5858
2018-08-22,5520
2018-08-23,5612
2018-08-24,5712
2018-08-25,7309
2018-08-26,8388
2018-08-27,6299
2018-08-28,5938
2018-08-29,5809
2018-08-30,6361
2018-08-31,12916
2018-09-01,17983
2018-09-02,20986
2018-09-03,21637
2018-09-04,16067
2018-09-05,15452
2018-09-06,14662
2018-09-07,15181
2018-09-08,19918
2018-09-09,21628
2018-09-10,16162
2018-09-11,15553
2018-09-12,14769
2018-09-13,14145
2018-09-14,14458
2018-09-15,18319
2018-09-16,19918
2018-09-17,14890
2018-09-18,13916
2018-09-19,13627
2018-09-20,13338
2018-09-21,13876
2018-09-22,17429
2018-09-23,19532
2018-09-24,14272
2018-09-25,13183
2018-09-26,12492
2018-09-27,12024
2018-09-28,12429
2018-09-29,16104
2018-09-30,18062
2018-10-01,13171
2018-10-02,12528
2018-10-03,12171
2018-10-04,11855
2018-10-05,11806
2018-10-06,15120
2018-10-07,16413
2018-10-08,13128
2018-10-09,11482
2018-10-10,10658
2018-10-11,9996
2018-10-12,10657
2018-10-13,13574
2018-10-14,14759
2018-10-15,10800
2018-10-16,10157
2018-10-17,9763
2018-10-18,9505
2018-10-19,9721
2018-10-20,12565
2018-10-21,13662
2018-10-22,9898
2018-10-23,9375
2018-10-24,9173
2018-10-25,8860
2018-10-26,8948
2018-10-27,11144
2018-10-28,12072
2018-10-29,8866
2018-10-30,9870
2018-10-31,9625
2018-11-01,11641
2018-11-02,11485
2018-11-03,13641
2018-11-04,14813
2018-11-05,10728
2018-11-06,10024
2018-11-07,9350
2018-11-08,8802
2018-11-09,9894
2018-11-10,12703
2018-11-11,14262
2018-11-12,11185
2018-11-13,9758
2018-11-14,8883
2018-11-15,8955
2018-11-16,9172
2018-11-17,11936
2018-11-18,12708
2018-11-19,9396
2018-11-20,9001
2018-11-21,9078
2018-11-22,9828
2018-11-23,12157
2018-11-24,14649
2018-11-25,16407
2018-11-26,12244
2018-11-27,11795
2018-11-28,11253
2018-11-29,10796
2018-11-30,11207
2018-12-01,14219
2018-12-02,15262
2018-12-03,10932
2018-12-04,10129
2018-12-05,9713
2018-12-06,9140
2018-12-07,8991
2018-12-08,11871
2018-12-09,12924
2018-12-10,9421
2018-12-11,8636
2018-12-12,8186
2018-12-13,7991
2018-12-14,8384
2018-12-15,10763
2018-12-16,11796
2018-12-17,8707
2018-12-18,8492
2018-12-19,8031
2018-12-20,7934
2018-12-21,9071
2018-12-22,11514
2018-12-23,12556
2018-12-24,10273
2018-12-25,11383
2018-12-26,13595
2018-12-27,14717
2018-12-28,14721
2018-12-29,16497
2018-12-30,18509
2018-12-31,15829
2019-01-01,19394
2019-01-02,16477
2019-01-03,16496
2019-01-04,16168
2019-01-05,19176
2019-01-06,18983
2019-01-07,14243
2019-01-08,12699
2019-01-09,11919
2019-01-10,11745
2019-01-11,12376
2019-01-12,16289
2019-01-13,17214
2019-01-14,12252
2019-01-15,11318
2019-01-16,10841
2019-01-17,10567
2019-01-18,11007
2019-01-19,14573
2019-01-20,15491
2019-01-21,12310
2019-01-22,10180
2019-01-23,9696
2019-01-24,9255
2019-01-25,9265
2019-01-26,12443
2019-01-27,13184
2019-01-28,9397
2019-01-29,8955
2019-01-30,9015
2019-01-31,8581
2019-02-01,9747
2019-02-02,13655
2019-02-03,16266
2019-02-04,11797
2019-02-05,11626
2019-02-06,11305
2019-02-07,11204
2019-02-08,11690
2019-02-09,15685
2019-02-10,17063
2019-02-11,12501
2019-02-12,12367
2019-02-13,11004
2019-02-14,9443
2019-02-15,10861
2019-02-16,13777
2019-02-17,14551
2019-02-18,11793
2019-02-19,9930
2019-02-20,9856
2019-02-21,9328
2019-02-22,9731
2019-02-23,12409
2019-02-24,13703
2019-02-25,9626
2019-02-26,9205
2019-02-27,8966
2019-02-28,8520
2019-03-01,9019
2019-03-02,11782
2019-03-03,13164
2019-03-04,9654
2019-03-05,9165
2019-03-06,9850
2019-03-07,10737
2019-03-08,11259
2019-03-09,14645
2019-03-10,16291
2019-03-11,11891
2019-03-12,11205
2019-03-13,10658
2019-03-14,10378
2019-03-15,10514
2019-03-16,12618
2019-03-17,14056
2019-03-18,10425
2019-03-19,9513
2019-03-20,9278
2019-03-21,8848
2019-03-22,8750
2019-03-23,11022
2019-03-24,12214
2019-03-25,8928
2019-03-26,8245
2019-03-27,8161
2019-03-28,8160
2019-03-29,8315
2019-03-30,10275
2019-03-31,11551
2019-04-01,8500
2019-04-02,7901
2019-04-03,7859
2019-04-04,7811
2019-04-05,7790
2019-04-06,10058
2019-04-07,11314
2019-04-08,8258
2019-04-09,7751
2019-04-10,7376
2019-04-11,7443
2019-04-12,7819
2019-04-13,10003
2019-04-14,11300
2019-04-15,7868
2019-04-16,7550
2019-04-17,7133
2019-04-18,7314
2019-04-19,8415
2019-04-20,9536
2019-04-21,10184
2019-04-22,8427
2019-04-23,7663
2019-04-24,7201
2019-04-25,6972
2019-04-26,7476
2019-04-27,9308
2019-04-28,10547
2019-04-29,6924
2019-04-30,7390
2019-05-01,7987
2019-05-02,7755
2019-05-03,8179
2019-05-04,12038
2019-05-05,14505
2019-05-06,10381
